System,Technique,Threshold,Accuracy,Macro F1,Hateful F1,Hateful Recall,Refined Count,Refinement Rate,Net Correction Gain
Initial Qwen3-VL,Direct Prompt,N/A,0.717667,0.702705,0.636012,0.695489,0,0.0,0
Best Confidence-Gated,atomic,0.95,0.723,0.710931,0.651864,0.731203,653,0.217667,16
